"We Can Work It Out"	1965	UK: A Collection of Beatles Oldies US: Yesterday and Today	McCartney, with Lennon	McCartney, with Lennon	1	1	Double A-side with "Day Tripper" Was inspired by Jane Asher
"What Goes On"	1965	UK: Rubber Soul US: Yesterday and Today	Lennon and McCartney, with Starkey	Starkey	—	81	
"What You're Doing"	1964	UK: Beatles for Sale US: Beatles VI	McCartney	McCartney	—	—	
"What's The New Mary Jane"	1968	Anthology 3	Lennon	Lennon	—	—	The Beatles (White Album) outtake, was inspired by Syd Barrett.
"When I Get Home"	1964	UK: A Hard Day's Night US: Something New	Lennon	Lennon	—	—	
"When I'm Sixty-Four"	1966	Sgt. Pepper's Lonely Hearts Club Band	McCartney	McCartney	—	—	
"While My Guitar Gently Weeps"	1968	The Beatles	Harrison	Harrison	—	—	featuring Eric Clapton on electric guitar
"Why Don't We Do It in the Road?"	1968	The Beatles	McCartney	McCartney	—	—	
"Wild Honey Pie"	1968	The Beatles	McCartney	McCartney	—	—	
"Winston's Walk"	1960		Lennon	N/A	—	—	
"With a Little Help from My Friends"	1967	Sgt. Pepper's Lonely Hearts Club Band	McCartney, with Lennon	Starkey	63	71	
"Within You Without You"	1967	Sgt. Pepper's Lonely Hearts Club Band	Harrison	Harrison	—	—	Performed by George Harrison with Session Musicians
"Woman"	1965		McCartney (as Bernard Webb or A. Smith)	McCartney	—	—	Single by Peter and Gordon, January 1966, performed by The Beatles in 1969 at "Let It Be" film sessions
"Words of Love"	1964	UK: Beatles for Sale US: Beatles VI	Holly	Lennon and McCartney	—	—	Cover
"Yellow Submarine"	1966	Revolver	McCartney	Starkey	1	2	
"Yer Blues"	1968	The Beatles	Lennon	Lennon	—	—	
"Yes It Is"	1965	UK: Rarities US: Beatles VI	Lennon	Lennon, McCartney and Harrison	1	46	B-side
"Yesterday"	1965	UK: Help! US: Yesterday and Today	McCartney	McCartney	8	1	Performed by Paul McCartney with String Section
"You Can't Do That"	1964	UK: A Hard Day's Night US: The Beatles Second Album	Lennon	Lennon	1	48	B-side
"You Know My Name (Look Up the Number)"	1967	UK: Rarities US: Rarities	Lennon, with McCartney	Lennon and McCartney	2	—	B-side
"You Know What to Do"	1964	Anthology 1	Harrison	Harrison	—	—	Full band demo recorded 3 June 1964
"You Like Me Too Much"	1965	UK: Help! US: Beatles VI	Harrison	Harrison	—	—	
"You Never Give Me Your Money"	1969	Abbey Road	McCartney	McCartney	—	—	
"You Won't See Me"	1965	Rubber Soul	McCartney	McCartney	—	—	
"You'll Be Mine"	1960	Anthology 1	Lennon and McCartney	McCartney	—	—	
"You're Going to Lose That Girl"	1965	Help!	Lennon	Lennon	—	—	
"You've Got to Hide Your Love Away"	1965	Help!	Lennon	Lennon	—	—	
"You've Really Got a Hold on Me"	1963	UK: With the Beatles US: Meet The Beatles!	Robinson	Lennon and Harrison	—	—	Cover
"Young Blood"	1963	Live at the BBC	Leiber, Stoller	Harrison	—	—	Cover
"Your Mother Should Know"	1967	Magical Mystery Tour	McCartney	McCartney	—	—	
