Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
51,No,Travel_Rarely,1469,8,2,Male,81,2,3,2,Married,12490,5,No,16,3,4,2,16,5,1,10,9,4,7
30,Yes,Travel_Rarely,1005,3,4,Female,88,3,1,1,Single,2657,5,Yes,11,3,3,0,8,5,3,5,2,0,4
41,No,Travel_Rarely,896,6,4,Female,75,3,3,4,Single,13591,3,Yes,18,3,3,0,16,3,3,1,0,0,0
30,Yes,Travel_Frequently,334,26,3,Female,52,2,2,1,Single,6696,5,No,15,3,3,0,9,5,2,6,3,0,1
29,Yes,Travel_Rarely,992,1,3,Male,85,3,1,3,Single,2058,0,No,14,3,4,0,7,1,2,6,2,1,5
45,No,Non-Travel,1052,6,4,Female,57,2,3,4,Single,8865,6,No,12,3,4,0,23,2,3,19,7,12,8
54,No,Travel_Rarely,1147,3,4,Female,52,3,2,1,Married,5940,2,No,14,3,4,1,16,4,3,6,2,0,5
36,No,Travel_Rarely,1396,5,4,Male,62,3,2,2,Single,5914,8,No,16,3,4,0,16,3,4,13,11,3,7
33,No,Travel_Rarely,147,4,3,Female,47,2,1,2,Married,2622,6,No,21,4,4,0,7,3,3,3,2,1,1
37,No,Travel_Frequently,663,11,2,Male,47,3,3,4,Divorced,12185,1,Yes,14,3,3,3,10,1,3,10,8,0,7
38,No,Travel_Rarely,119,3,1,Male,76,3,3,3,Divorced,10609,0,No,12,3,3,2,17,6,2,16,10,5,13
31,No,Non-Travel,979,1,3,Male,90,1,2,3,Married,4345,0,No,12,3,4,1,6,2,3,5,4,1,4
59,No,Travel_Rarely,142,3,3,Male,70,2,1,4,Married,2177,3,No,17,3,1,1,7,6,3,1,0,0,0
37,No,Travel_Frequently,319,4,1,Male,41,3,1,4,Divorced,2793,4,No,17,3,3,1,13,2,3,9,8,5,8
29,No,Travel_Frequently,1413,1,2,Female,42,3,3,4,Married,7918,1,No,14,3,4,1,11,5,3,11,10,4,1
35,No,Travel_Frequently,944,1,3,Female,92,3,3,3,Single,8789,1,No,14,3,1,0,10,3,4,10,7,0,8
29,Yes,Travel_Rarely,896,18,3,Male,86,2,1,4,Single,2389,1,Yes,13,3,3,0,4,3,2,4,3,0,1
52,No,Travel_Rarely,1323,2,3,Female,89,2,1,4,Single,3212,7,No,15,3,2,0,6,3,2,2,2,2,2
42,No,Travel_Rarely,532,4,3,Male,58,3,5,4,Married,19232,1,No,11,3,4,0,22,3,3,22,17,11,15
59,No,Travel_Rarely,818,6,2,Male,52,3,1,3,Married,2267,8,No,17,3,4,0,7,2,2,2,2,2,2
50,No,Travel_Rarely,854,1,4,Female,68,3,5,4,Divorced,19517,3,No,11,3,3,1,32,3,2,7,0,0,6
33,Yes,Travel_Rarely,813,14,3,Male,58,3,1,4,Married,2436,5,Yes,13,3,3,1,8,2,1,5,4,0,4
43,No,Travel_Rarely,1034,16,4,Female,80,3,4,4,Married,16064,5,Yes,22,4,3,1,22,3,3,17,13,1,9
33,Yes,Travel_Rarely,465,2,1,Female,39,3,1,1,Married,2707,7,No,20,4,1,0,13,3,4,9,7,1,7
52,No,Non-Travel,771,2,1,Male,79,2,5,3,Single,19068,1,Yes,18,3,4,0,33,2,4,33,7,15,12
32,No,Travel_Rarely,1401,4,3,Female,56,3,1,2,Married,3931,2,No,11,3,1,1,6,5,3,4,3,1,2
32,Yes,Travel_Rarely,515,1,4,Male,62,2,1,3,Single,3730,0,Yes,14,3,4,0,4,2,1,3,2,1,2
39,No,Travel_Rarely,1431,1,3,Female,96,3,1,3,Divorced,2232,7,No,14,3,3,3,7,1,3,3,2,1,2
32,No,Non-Travel,976,26,3,Male,100,3,2,4,Married,4465,0,No,18,3,1,0,4,2,3,3,2,2,2
41,No,Travel_Rarely,1411,19,3,Male,36,3,2,1,Divorced,3072,2,No,16,3,1,2,17,2,2,1,0,0,0
40,No,Travel_Rarely,1300,24,1,Male,62,3,2,4,Divorced,3319,1,No,17,3,1,2,9,3,3,9,8,4,7
45,No,Travel_Rarely,252,1,3,Male,70,4,5,4,Married,19202,0,No,11,3,3,1,25,2,3,24,0,1,7
31,No,Travel_Frequently,1327,3,2,Male,73,3,3,3,Divorced,13675,9,No,12,3,1,1,9,3,3,2,2,2,2
33,No,Travel_Rarely,832,5,3,Female,63,2,1,4,Married,2911,1,No,13,3,3,1,2,2,2,2,2,0,2
34,No,Travel_Rarely,470,2,4,Male,84,2,2,1,Married,5957,6,No,13,3,2,1,13,3,3,11,9,5,9
37,No,Travel_Rarely,1017,1,3,Female,83,2,1,1,Married,3920,2,No,14,3,1,1,17,2,2,3,1,0,2
45,No,Travel_Frequently,1199,7,1,Male,77,4,2,3,Married,6434,4,No,17,3,4,1,9,1,3,3,2,0,2
37,Yes,Travel_Frequently,504,10,1,Male,61,3,3,3,Divorced,10048,6,No,11,3,2,2,17,5,3,1,0,0,0
39,No,Travel_Frequently,505,2,3,Female,64,3,3,3,Single,10938,0,No,25,4,4,0,20,1,3,19,6,11,8
29,No,Travel_Rarely,665,15,3,Male,60,3,1,4,Single,2340,1,No,19,3,1,0,6,1,3,6,5,1,5
42,No,Travel_Rarely,916,17,4,Female,82,4,2,1,Single,6545,3,Yes,13,3,3,0,10,1,3,3,2,0,2
29,No,Travel_Rarely,1247,20,4,Male,45,3,2,4,Divorced,6931,2,No,14,3,4,1,10,2,3,3,2,0,2
25,No,Travel_Rarely,685,1,1,Female,62,3,2,3,Married,4898,0,No,12,3,4,2,5,3,3,4,2,1,2
42,No,Travel_Rarely,269,2,4,Female,56,2,1,1,Divorced,2593,0,Yes,11,3,3,1,10,4,3,9,6,7,8
40,No,Travel_Rarely,1416,2,1,Male,49,3,5,3,Divorced,19436,0,No,19,3,4,1,22,5,3,21,7,3,9
51,No,Travel_Rarely,833,1,3,Male,96,3,1,4,Married,2723,1,No,11,3,2,0,1,0,2,1,0,0,0
31,Yes,Travel_Frequently,307,29,3,Male,71,2,1,2,Single,3479,0,No,11,3,2,0,6,2,4,5,4,1,4
32,No,Travel_Frequently,1311,7,2,Male,100,4,1,2,Married,2794,1,No,20,4,3,0,5,3,1,5,1,0,3
38,No,Non-Travel,1327,2,4,Male,39,2,2,4,Married,5249,3,No,18,3,4,1,13,0,3,8,7,7,5
32,No,Travel_Rarely,128,2,4,Male,84,2,2,1,Single,2176,4,No,13,3,4,0,9,5,3,6,2,0,4
46,No,Travel_Rarely,488,2,3,Female,75,1,4,2,Married,16872,3,Yes,12,3,2,1,28,2,2,7,7,7,7
28,Yes,Travel_Rarely,529,2,1,Male,79,3,1,3,Single,3485,2,No,11,3,3,0,5,5,1,0,0,0,0
29,No,Travel_Rarely,1210,2,1,Male,78,2,2,2,Married,6644,2,No,19,3,2,2,10,2,3,0,0,0,0
31,No,Travel_Rarely,1463,23,2,Male,64,2,2,4,Married,5582,0,No,21,4,2,1,10,2,3,9,0,7,8
25,No,Non-Travel,675,5,2,Male,85,4,2,1,Divorced,4000,1,No,12,3,4,2,6,2,3,6,3,1,5
45,No,Travel_Rarely,1385,20,3,Male,79,3,4,4,Married,13496,0,Yes,14,3,2,0,21,2,3,20,7,4,10
36,No,Travel_Rarely,1403,6,4,Male,47,3,1,4,Married,3210,0,No,11,3,3,1,16,4,3,15,13,10,11
55,No,Travel_Rarely,452,1,4,Male,81,3,5,1,Single,19045,0,Yes,14,3,3,0,37,2,3,36,10,4,13
47,Yes,Non-Travel,666,29,1,Male,88,3,3,2,Married,11849,1,Yes,12,3,4,1,10,2,2,10,7,9,9
28,No,Travel_Rarely,1158,9,4,Male,94,3,1,4,Married,2070,1,No,23,4,4,1,5,3,2,5,2,0,4
37,No,Travel_Rarely,228,6,3,Male,98,3,2,4,Married,6502,4,No,14,3,2,1,7,5,4,5,4,0,1
21,No,Travel_Rarely,996,3,4,Male,100,2,1,3,Single,3230,1,No,17,3,1,0,3,4,4,3,2,1,0
37,No,Non-Travel,728,1,1,Female,80,3,3,4,Divorced,13603,2,Yes,18,3,1,2,15,2,3,5,2,0,2
35,No,Travel_Rarely,1315,22,2,Female,71,4,3,2,Divorced,11996,7,No,18,3,2,1,10,6,2,7,7,6,2
38,No,Travel_Rarely,322,7,1,Female,44,4,2,1,Divorced,5605,1,Yes,24,4,3,1,8,3,3,8,0,7,7
26,No,Travel_Frequently,1479,1,3,Female,84,3,2,2,Divorced,6397,1,No,20,4,1,1,6,6,1,6,5,1,4
50,No,Travel_Rarely,797,4,1,Male,96,3,5,2,Divorced,19144,3,No,14,3,1,2,28,4,2,10,4,1,6
53,No,Travel_Rarely,1070,3,3,Male,45,3,4,3,Married,17584,3,Yes,16,3,4,3,21,5,2,5,3,1,3
42,No,Travel_Rarely,635,1,2,Male,99,3,2,3,Married,4907,1,No,25,4,3,0,20,3,3,20,16,11,6
29,No,Travel_Frequently,442,2,2,Male,44,3,2,4,Single,4554,1,No,18,3,1,0,10,3,2,10,7,0,9
55,No,Travel_Rarely,147,20,2,Male,37,3,2,4,Married,5415,3,Yes,19,3,4,1,12,4,3,10,7,0,8
26,No,Travel_Frequently,496,11,1,Male,60,3,2,1,Married,4741,1,Yes,13,3,3,1,5,3,3,5,3,3,3
37,No,Travel_Rarely,1372,1,4,Female,42,3,1,4,Single,2115,1,No,12,3,2,0,17,3,3,17,12,5,7
44,Yes,Travel_Frequently,920,24,4,Male,43,3,1,3,Divorced,3161,3,Yes,22,4,4,1,19,0,1,1,0,0,0
38,No,Travel_Rarely,688,23,4,Male,82,3,2,4,Divorced,5745,9,No,14,3,2,1,10,2,3,2,2,1,2
26,Yes,Travel_Rarely,1449,16,1,Male,45,3,1,2,Divorced,2373,2,Yes,13,3,4,1,5,2,3,3,2,0,2
28,No,Travel_Rarely,1117,8,4,Female,66,3,1,4,Single,3310,1,No,21,4,4,0,5,3,3,5,3,0,2
49,No,Travel_Frequently,636,10,3,Female,35,3,5,1,Single,18665,9,Yes,11,3,4,0,22,4,3,3,2,1,2
36,No,Travel_Rarely,506,3,3,Male,30,3,2,2,Single,4485,4,No,12,3,4,0,10,2,3,8,0,7,7
31,No,Travel_Frequently,444,5,4,Female,84,3,1,2,Divorced,2789,1,No,11,3,3,1,2,5,2,2,2,2,2
26,Yes,Travel_Rarely,950,4,4,Male,48,2,2,4,Single,5828,1,Yes,12,3,2,0,8,0,3,8,7,7,4
37,No,Travel_Frequently,889,9,2,Male,53,3,1,4,Married,2326,1,Yes,12,3,3,3,4,3,2,4,2,1,2
42,No,Travel_Frequently,555,26,3,Female,77,3,4,2,Married,13525,5,No,14,3,4,1,23,2,4,20,4,4,8
18,Yes,Travel_Rarely,230,3,3,Male,54,3,1,3,Single,1420,1,No,13,3,3,0,0,2,3,0,0,0,0
35,No,Travel_Rarely,1232,16,3,Male,96,3,3,2,Married,8020,0,No,15,3,3,2,12,3,2,11,9,6,9
36,No,Travel_Frequently,566,18,3,Male,81,4,1,4,Married,3688,4,No,18,3,4,2,4,2,3,1,0,0,0
51,No,Travel_Rarely,1302,2,4,Male,84,1,2,2,Divorced,5482,5,No,18,3,4,1,13,3,3,4,1,1,2
41,No,Travel_Rarely,334,2,4,Male,88,3,4,2,Single,16015,1,No,19,3,2,0,22,2,3,22,10,0,4
18,No,Travel_Rarely,812,10,4,Female,69,2,1,3,Single,1200,1,No,12,3,1,0,0,2,3,0,0,0,0
28,No,Travel_Rarely,1476,16,2,Male,68,4,2,1,Single,5661,0,No,19,3,3,0,9,2,3,8,3,0,7
31,No,Travel_Rarely,218,7,2,Male,100,4,2,4,Married,6929,4,No,11,3,2,1,10,3,2,8,7,7,7
39,No,Travel_Rarely,1132,1,3,Male,48,4,3,4,Divorced,9613,0,No,17,3,1,3,19,5,2,18,10,3,7
36,No,Non-Travel,1105,24,2,Female,47,3,2,2,Married,5674,7,No,15,3,3,1,11,3,3,9,8,0,8
32,No,Travel_Rarely,906,7,4,Male,91,2,2,3,Married,5484,1,No,14,3,3,1,13,3,2,13,8,4,8
38,No,Travel_Rarely,849,25,1,Female,81,2,3,2,Married,12061,3,No,17,3,3,1,19,2,3,10,8,0,1
58,No,Non-Travel,390,1,4,Male,32,1,2,3,Divorced,5660,2,Yes,13,3,4,1,12,2,3,5,3,1,2
31,No,Travel_Rarely,691,5,3,Male,86,3,1,4,Married,4821,0,Yes,12,3,3,1,6,4,3,5,2,0,3
31,No,Travel_Rarely,106,2,1,Male,62,2,2,1,Married,6410,3,No,12,3,4,0,9,1,3,2,2,1,0
45,No,Travel_Frequently,1249,7,1,Male,97,3,3,1,Divorced,5210,1,No,18,3,1,1,24,2,3,24,9,9,11
31,No,Travel_Rarely,192,2,3,Male,32,3,1,4,Divorced,2695,0,Yes,18,3,2,1,3,2,1,2,2,2,2
33,No,Travel_Frequently,553,5,4,Female,74,3,3,2,Married,11878,6,No,11,3,2,2,12,2,3,10,6,8,8
39,No,Travel_Rarely,117,10,3,Male,99,3,4,1,Married,17068,1,Yes,14,3,4,0,21,3,3,21,9,11,10
43,No,Travel_Frequently,185,10,3,Female,33,3,1,4,Single,2455,0,No,19,3,1,0,9,5,3,8,7,1,7
49,No,Travel_Rarely,1091,1,3,Female,90,2,4,3,Single,13964,7,Yes,12,3,4,0,25,2,3,7,1,0,7
52,Yes,Travel_Rarely,723,8,3,Male,85,2,2,2,Married,4941,2,No,15,3,1,0,11,3,2,8,2,7,7
27,No,Travel_Rarely,1220,5,3,Female,85,3,1,2,Single,2478,1,Yes,12,3,2,0,4,2,2,4,3,1,2
32,No,Travel_Rarely,588,8,3,Female,65,2,2,2,Married,5228,1,Yes,11,3,4,0,13,2,3,13,12,11,9
27,No,Travel_Rarely,1377,2,4,Male,74,3,2,3,Single,4478,1,Yes,11,3,1,0,5,3,3,5,4,0,4
31,No,Travel_Rarely,691,7,4,Male,73,3,2,4,Divorced,7547,4,No,12,3,4,3,13,3,3,7,7,1,7
32,No,Travel_Rarely,1018,2,1,Female,74,4,2,4,Single,5055,7,No,16,3,3,0,10,0,2,7,7,0,7
28,Yes,Travel_Rarely,1157,2,1,Male,84,1,1,4,Married,3464,5,Yes,13,3,4,0,5,4,2,3,2,2,2
30,No,Travel_Rarely,1275,28,4,Female,64,3,2,4,Married,5775,1,No,13,3,4,2,11,2,3,10,8,1,9
31,No,Travel_Frequently,798,7,3,Female,48,2,3,3,Married,8943,1,No,24,4,1,1,10,2,3,10,9,8,9
39,No,Travel_Frequently,672,7,3,Male,54,2,5,4,Married,19272,1,No,15,3,1,1,21,2,3,21,9,13,3
39,Yes,Travel_Rarely,1162,3,4,Female,41,3,2,3,Married,5238,4,Yes,18,3,1,0,12,3,2,1,0,0,0
33,No,Travel_Frequently,508,10,2,Male,46,2,2,4,Single,4682,3,No,14,3,3,0,9,6,2,7,7,0,1
47,No,Travel_Rarely,1482,5,4,Male,42,3,5,3,Married,18300,4,No,11,3,2,1,21,2,3,3,2,1,1
43,No,Travel_Frequently,559,10,3,Female,82,2,2,3,Divorced,5257,1,No,11,3,2,1,9,3,4,9,7,0,0
27,No,Non-Travel,210,1,3,Male,73,3,2,2,Married,6349,0,Yes,13,3,4,1,6,0,3,5,4,1,4
54,No,Travel_Frequently,928,20,4,Female,31,3,2,3,Single,4869,3,No,12,3,4,0,20,4,2,4,3,0,3
43,No,Travel_Rarely,1001,7,3,Female,43,3,3,1,Married,9985,8,No,16,3,1,1,10,1,2,1,0,0,0
45,No,Travel_Rarely,549,8,4,Male,75,3,2,4,Married,3697,9,No,14,3,1,2,12,3,3,10,9,9,8
40,No,Travel_Rarely,1124,1,2,Male,57,1,2,4,Married,7457,2,Yes,22,4,3,3,6,2,2,4,3,0,2
29,Yes,Travel_Rarely,318,8,2,Male,77,1,1,1,Married,2119,1,Yes,11,3,4,0,7,4,2,7,7,0,7
29,No,Travel_Rarely,738,9,2,Male,30,2,1,4,Single,3983,0,No,17,3,3,0,4,2,3,3,2,2,2
30,No,Travel_Rarely,570,5,4,Female,30,2,2,3,Divorced,6118,1,No,13,3,3,3,10,2,3,10,9,1,2
27,No,Travel_Rarely,1130,8,2,Female,56,3,2,2,Married,6214,1,No,18,3,1,1,8,3,3,8,7,0,7
37,No,Travel_Rarely,1192,5,4,Male,61,3,2,4,Divorced,6347,7,No,16,3,3,2,8,2,2,6,2,0,4
38,No,Travel_Rarely,343,15,3,Male,92,2,3,4,Divorced,11510,0,Yes,14,3,2,1,12,3,3,11,10,2,9
31,No,Travel_Rarely,1232,7,3,Female,39,3,3,4,Single,7143,1,Yes,14,3,3,0,11,2,2,11,9,4,10
29,No,Travel_Rarely,144,10,4,Female,39,2,2,2,Divorced,8268,1,Yes,14,3,1,2,7,2,3,7,7,1,7
35,No,Travel_Rarely,1296,5,3,Male,62,3,3,2,Single,8095,0,No,13,3,4,0,17,5,3,16,6,0,13
23,No,Travel_Rarely,1309,26,3,Male,83,3,1,4,Divorced,2904,1,No,12,3,3,2,4,2,2,4,2,0,2
41,No,Travel_Rarely,483,6,4,Male,95,2,2,2,Single,6032,6,Yes,15,3,4,0,8,3,3,5,4,1,2
47,No,Travel_Frequently,1309,4,2,Male,99,3,2,3,Single,2976,3,No,19,3,1,0,5,3,3,0,0,0,0
42,No,Travel_Rarely,810,23,1,Female,44,3,4,4,Single,15992,2,No,14,3,2,0,16,2,3,1,0,0,0
29,No,Non-Travel,746,2,4,Male,61,3,2,3,Married,4649,1,No,14,3,1,1,4,3,2,4,3,0,2
42,No,Travel_Rarely,544,2,3,Male,52,3,1,3,Divorced,2696,0,Yes,11,3,3,1,4,5,3,3,2,1,0
32,No,Travel_Rarely,1062,2,3,Female,75,3,1,2,Married,2370,1,No,13,3,3,1,8,4,3,8,0,0,7
48,No,Travel_Rarely,530,29,1,Female,91,3,3,3,Married,12504,3,No,21,4,2,1,15,3,1,0,0,0,0
37,No,Travel_Rarely,1319,6,3,Male,51,4,2,1,Divorced,5974,4,Yes,13,3,1,2,13,2,3,7,7,6,7
30,No,Non-Travel,641,25,4,Female,85,3,2,3,Married,4736,7,Yes,12,3,2,1,4,2,4,2,2,2,2
26,No,Travel_Rarely,933,1,3,Male,57,3,2,3,Married,5296,1,No,17,3,2,1,8,3,3,8,7,7,7
42,No,Travel_Rarely,1332,2,1,Male,98,2,2,4,Single,6781,3,No,23,4,2,0,14,6,3,1,0,0,0
21,Yes,Travel_Frequently,756,1,1,Female,99,2,1,2,Single,2174,1,Yes,11,3,3,0,3,3,3,3,2,1,2
36,No,Non-Travel,845,1,4,Female,45,3,2,4,Single,6653,4,No,15,3,2,0,7,6,3,1,0,0,0
36,No,Travel_Frequently,541,3,1,Male,48,2,3,4,Married,9699,4,No,11,3,1,1,16,2,3,13,9,1,12
57,No,Travel_Rarely,593,1,4,Male,88,3,2,3,Married,6755,2,No,11,3,3,0,15,2,3,3,2,1,2
40,No,Travel_Rarely,1171,10,4,Female,46,4,1,3,Married,2213,3,Yes,13,3,3,1,10,3,3,7,7,1,7
21,No,Non-Travel,895,9,1,Male,39,3,1,4,Single,2610,1,No,24,4,3,0,3,3,2,3,2,2,2
33,Yes,Travel_Rarely,350,5,4,Female,34,3,1,3,Single,2851,1,Yes,13,3,2,0,1,2,3,1,0,0,0
37,No,Travel_Rarely,921,10,3,Female,98,3,1,1,Married,3452,6,No,20,4,2,1,17,3,3,5,4,0,3
46,No,Non-Travel,1144,7,3,Female,30,3,2,3,Married,5258,2,No,14,3,3,0,7,2,4,1,0,0,0
41,Yes,Travel_Frequently,143,4,1,Male,56,3,2,2,Single,9355,1,No,18,3,3,0,8,5,3,8,7,7,7
50,No,Travel_Rarely,1046,10,4,Male,100,2,3,4,Single,10496,6,No,15,3,4,0,20,2,3,4,3,1,3
40,Yes,Travel_Rarely,575,22,3,Male,68,2,2,3,Married,6380,2,Yes,12,3,1,2,8,6,3,6,4,1,0
31,No,Travel_Rarely,408,9,3,Male,42,2,1,2,Single,2657,0,Yes,16,3,4,0,3,5,3,2,2,2,2
21,Yes,Travel_Rarely,156,12,3,Female,90,4,1,2,Single,2716,1,No,15,3,4,0,1,0,3,1,0,0,0
29,No,Travel_Rarely,1283,23,4,Male,54,3,1,4,Single,2201,9,No,16,3,4,0,6,4,3,3,2,1,2
35,No,Travel_Rarely,755,9,3,Male,97,2,2,2,Single,6540,9,No,19,3,3,0,10,5,3,1,1,0,0
27,No,Travel_Rarely,1469,1,4,Male,82,3,1,2,Divorced,3816,1,No,11,3,2,1,5,2,3,5,2,0,4
28,No,Travel_Rarely,304,9,2,Male,92,3,2,4,Single,5253,1,No,16,3,4,0,7,1,3,7,5,0,7
49,No,Travel_Rarely,1261,7,2,Male,31,2,3,3,Single,10965,8,No,24,4,3,0,26,2,3,5,2,0,0
51,No,Travel_Rarely,1178,14,3,Female,87,3,2,4,Married,4936,4,No,11,3,3,1,18,2,2,7,7,0,7
36,No,Travel_Rarely,329,2,4,Female,96,3,1,3,Married,2543,4,No,13,3,2,1,6,3,3,2,2,2,2
34,Yes,Non-Travel,1362,19,1,Male,67,4,2,4,Single,5304,8,Yes,13,3,2,0,9,3,2,5,2,0,4
55,No,Travel_Rarely,1311,2,3,Female,97,3,4,4,Single,16659,2,Yes,13,3,3,0,30,2,3,5,4,1,2
24,No,Travel_Rarely,1371,10,4,Female,77,3,2,3,Divorced,4260,1,Yes,12,3,4,1,5,2,4,5,2,0,3
30,No,Travel_Rarely,202,2,3,Male,72,3,1,2,Married,2476,1,No,18,3,1,1,1,3,3,1,0,0,0
26,Yes,Travel_Frequently,575,3,3,Male,73,3,1,1,Single,3102,0,No,22,4,3,0,7,2,3,6,4,0,4
22,No,Travel_Rarely,253,11,1,Female,43,3,1,2,Married,2244,1,No,13,3,4,1,2,1,3,2,1,1,2
36,No,Travel_Rarely,164,2,2,Male,61,2,3,3,Married,7596,1,No,13,3,2,2,10,2,3,10,9,9,0
30,Yes,Travel_Frequently,464,4,3,Male,40,3,1,4,Single,2285,9,Yes,23,4,3,0,3,4,3,1,0,0,0
37,No,Travel_Rarely,1107,14,4,Female,95,3,1,1,Divorced,3034,1,No,12,3,3,1,18,2,2,18,7,12,17
40,No,Travel_Rarely,759,2,4,Female,46,3,2,2,Divorced,5715,7,No,12,3,3,2,8,5,3,5,4,1,3
42,No,Travel_Rarely,201,1,2,Female,95,3,1,1,Divorced,2576,3,No,16,3,2,1,8,5,3,5,2,1,2
37,No,Travel_Rarely,1305,10,3,Male,49,3,2,2,Single,4197,2,Yes,12,3,4,0,18,2,2,1,0,0,1
43,No,Travel_Rarely,982,12,1,Male,59,2,4,2,Divorced,14336,1,No,11,3,3,1,25,3,3,25,10,3,9
40,No,Travel_Rarely,555,2,2,Female,78,2,2,3,Married,3448,6,No,22,4,2,1,20,3,3,1,0,0,0
54,No,Travel_Rarely,821,5,1,Male,86,3,5,1,Married,19406,4,No,11,3,3,1,24,4,2,4,2,1,2
34,No,Non-Travel,1381,4,3,Female,72,3,2,3,Married,6538,9,No,15,3,1,1,6,3,3,3,2,1,2
31,No,Travel_Rarely,480,7,2,Female,31,3,2,1,Married,4306,1,No,12,3,2,1,13,5,1,13,10,3,12
43,No,Travel_Frequently,313,21,4,Male,61,3,1,4,Married,2258,7,No,20,4,1,1,8,1,3,3,2,1,2
43,No,Travel_Rarely,1473,8,3,Female,74,3,2,3,Divorced,4522,4,Yes,14,3,4,0,8,3,3,5,2,0,2
25,No,Travel_Rarely,891,4,2,Female,99,2,2,4,Single,4487,1,Yes,11,3,2,0,5,3,3,5,4,1,3
37,No,Non-Travel,1063,25,2,Female,72,3,2,3,Married,4449,3,Yes,15,3,1,2,15,2,3,13,11,10,7
31,No,Travel_Rarely,329,1,4,Male,98,2,1,1,Married,2218,1,No,12,3,3,1,4,3,3,4,2,3,2
39,No,Travel_Frequently,1218,1,2,Male,52,3,5,3,Divorced,19197,1,Yes,14,3,3,1,21,3,3,21,8,1,6
56,No,Travel_Frequently,906,6,3,Female,86,4,4,1,Married,13212,9,No,11,3,4,3,36,0,2,7,7,7,7
30,No,Travel_Rarely,1082,12,2,Female,83,3,2,3,Single,6577,0,No,11,3,2,0,6,6,3,5,4,4,4
41,No,Travel_Rarely,645,1,2,Male,49,4,3,1,Married,8392,1,No,16,3,3,1,10,2,3,10,7,0,7
28,No,Travel_Rarely,1300,17,3,Male,79,3,2,1,Divorced,4558,1,No,12,3,4,1,10,2,3,10,0,1,8
25,Yes,Travel_Rarely,688,3,1,Male,91,3,1,1,Married,4031,5,No,13,3,3,1,6,5,3,2,2,0,2
52,No,Travel_Rarely,319,3,4,Male,39,2,3,3,Married,7969,2,Yes,14,3,3,0,28,4,3,5,4,0,4
45,No,Travel_Rarely,192,10,1,Male,69,3,1,4,Married,2654,3,No,21,4,4,2,8,3,2,2,2,0,2
52,No,Travel_Rarely,1490,4,4,Female,30,3,4,4,Married,16555,2,No,13,3,4,0,31,2,1,5,2,1,4
42,No,Travel_Frequently,532,29,1,Female,92,3,2,3,Divorced,4556,2,No,11,3,2,1,19,3,3,5,4,0,2
30,No,Travel_Rarely,317,2,3,Female,43,1,2,4,Single,6091,2,No,20,4,3,0,11,2,3,5,4,0,2
60,No,Travel_Rarely,422,7,1,Female,41,3,5,1,Married,19566,5,No,11,3,4,0,33,5,1,29,8,11,10
46,No,Travel_Rarely,1485,18,3,Female,87,3,2,3,Divorced,4810,2,No,14,3,3,1,19,5,2,10,7,0,8
42,No,Travel_Frequently,1368,28,4,Female,88,2,2,4,Married,4523,0,No,11,3,4,3,7,4,4,6,5,0,4
24,Yes,Travel_Rarely,1448,1,1,Female,62,3,1,2,Single,3202,1,Yes,16,3,2,0,6,4,3,5,3,1,4
34,Yes,Travel_Frequently,296,6,4,Female,33,1,1,3,Divorced,2351,0,No,16,3,4,1,3,3,2,2,2,1,0
38,No,Travel_Frequently,1490,2,4,Male,42,3,1,4,Married,1702,1,Yes,23,4,3,1,1,3,3,1,0,0,0
40,No,Travel_Rarely,1398,2,3,Female,79,3,5,3,Married,18041,0,No,14,3,4,0,21,2,3,20,15,1,12
26,No,Travel_Rarely,1349,23,1,Female,90,3,1,4,Divorced,2886,1,No,22,4,2,2,3,3,1,3,2,0,2
30,No,Non-Travel,1400,3,3,Male,53,3,1,4,Married,2097,4,No,15,3,3,1,9,3,1,5,3,1,4
29,No,Travel_Rarely,986,3,2,Male,93,2,3,3,Married,11935,1,No,18,3,3,0,10,2,3,10,2,0,7
29,Yes,Travel_Rarely,408,25,3,Female,71,2,1,2,Married,2546,5,No,16,3,2,0,6,2,4,2,2,1,1
19,Yes,Travel_Rarely,489,2,1,Male,52,2,1,4,Single,2564,1,No,12,3,3,0,1,3,4,1,0,0,0
30,No,Non-Travel,1398,22,3,Female,69,3,3,1,Married,8412,0,No,11,3,3,0,10,3,3,9,8,7,8
57,No,Travel_Rarely,210,29,1,Male,56,2,4,4,Divorced,14118,3,No,12,3,3,1,32,3,2,1,0,0,0
50,No,Travel_Rarely,1099,29,2,Male,88,2,4,3,Married,17046,0,No,15,3,2,1,28,2,3,27,10,15,7
30,No,Non-Travel,1116,2,3,Female,49,3,1,4,Single,2564,0,No,14,3,3,0,12,2,2,11,7,6,7
60,No,Travel_Frequently,1499,28,3,Female,80,2,3,1,Married,10266,4,No,19,3,4,0,22,5,4,18,13,13,11
47,No,Travel_Rarely,983,2,1,Female,65,3,2,4,Divorced,5070,5,No,13,3,3,3,20,2,3,5,0,0,4
